호선,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
5호선,청구,4,0,1774,250,2790,2065,7110,3846,10836,13881,6699,7540,5691,4361,5566,3958,5525,4417,5754,4738,5789,4882,5524,5460,7515,6479,8619,7862,12686,10991,7406,7287,4931,4867,3709,4857,3082,4651,1546,2815,223,731,0,0,0,0,0,0,20231103
5호선,충정로(경기대입구),13,0,1145,206,2329,2049,5820,13301,7941,30395,5007,12793,3841,4763,4591,4565,5433,4217,5426,4914,5772,4734,5855,4172,7280,4836,16556,6442,25222,8788,7835,5800,5060,3895,4414,3921,2873,3530,1164,2474,174,589,0,58,0,0,0,0,20231103
5호선,하남검단산,13,0,3975,18,9313,3038,23494,5509,20252,12094,13179,10770,10835,10166,9699,9336,10196,11203,10542,10065,10556,10227,12941,12705,14323,11556,13911,15070,13430,17304,8188,16930,6699,10558,5783,9563,4242,8384,1040,5586,110,2795,0,0,0,0,0,0,20231103
5호선,하남시청(덕풍?신장),54,1,5538,161,12113,4407,27761,7008,25771,15514,17090,9061,14277,9408,13790,8907,14302,8768,13374,12597,11988,10293,13012,15097,16070,17125,15504,17314,15579,25259,8515,22670,6555,13110,5426,12516,3677,11975,1232,6853,253,3158,0,0,0,0,0,0,20231103
5호선,하남풍산,14,0,2235,302,5427,2275,10676,6801,11909,15642,7517,9863,7143,6077,6876,5995,7170,5511,7072,6647,7139,6146,7952,6674,9711,8464,11601,7863,13641,11714,5583,10361,3965,5675,3809,5323,2174,5245,657,3302,134,1304,0,0,0,0,0,0,20231103
5호선,행당,29,0,4488,733,11942,2631,31073,4939,43287,9534,21987,6621,15368,5507,13407,6310,12973,7779,12064,8880,10428,10356,10674,12658,10598,16040,10762,20503,10029,30839,6288,20692,4969,13541,3640,12808,3071,10926,1085,6518,206,1827,0,0,0,0,0,0,20231103
5호선,화곡,248,1,24355,1618,42721,10205,115253,15331,142462,32806,74570,26693,48116,20565,43903,21140,45014,23718,41933,27893,36006,31684,34405,40308,38326,54366,40258,69897,40727,121088,23174,89593,16930,56923,13699,54258,10901,45495,4625,28635,640,8052,0,0,0,0,0,0,20231103
6호선,고려대(종암),38,1,3930,811,7595,5073,20697,11940,26999,30736,15496,15731,11239,15599,11962,10919,12986,10175,15507,14209,14269,11678,14822,11625,21731,13989,25726,16401,22830,26794,11451,19019,9580,12528,11502,12389,8597,12321,4105,8557,738,2227,0,59,0,0,0,0,20231103
6호선,공덕,184,1,5083,2243,9086,10788,21550,37712,32983,96889,24899,47036,21071,23701,22842,20473,24361,21487,24944,22111,25594,21156,29335,22010,33629,27198,57642,33451,82142,43379,35872,27775,28533,17872,30293,17061,21389,15292,9880,10964,1151,4492,0,113,0,0,0,0,20231103
6호선,광흥창(서강),7,0,3029,1256,7684,5004,20082,14815,26849,32794,17392,20526,13353,12119,13714,9840,15439,10891,13013,11029,13353,11350,14465,12832,15150,13720,21663,17598,28974,24704,14334,18365,10336,11444,9438,10128,6278,9767,2743,5764,335,1694,0,2,0,0,0,0,20231103
